ORIGEM 2;DESTINO 2;Motivo Agrupado;Com que frequência você faz essa viagem?;A viagem foi realizada em qual período do dia?;Modal Agrupado
Paço do Lumiar;São Luís;Trabalho;1 a 3 vezes por mês;Manhã (5h - 12h);Ônibus
Paço do Lumiar;São Luís;Trabalho;1 a 2 vezes por semana;Manhã (5h - 12h);Ônibus
Paço do Lumiar;São Luís;Trabalho;Todos os dias;Noite (18h - 00h);Carro próprio
Paço do Lumiar;São Luís;Visita a amigos/familiares;1 a 3 vezes por mês;Madrugada (00h - 5h);Ônibus
Presidente Juscelino;Rosário;Estudo;3 a 5 vezes por semana;Manhã (5h - 12h);Ônibus
Presidente Juscelino;Rosário;Trabalho;1 a 3 vezes por mês;Manhã (5h - 12h);Transporte por Aplicativo
Presidente Juscelino;São Luís;Visita a amigos/familiares;Muito raramente;Madrugada (00h - 5h);Carro próprio
Raposa;Icatu;Lazer;Muito raramente;Manhã (5h - 12h);Carona com alguém
Raposa;Morros;Lazer;Muito raramente;Tarde (12h - 18h);Carona com alguém
Raposa;São Luís;Lazer;Muito raramente;Manhã (5h - 12h);Transporte Alternativo
Raposa;São Luís;Trabalho;Muito raramente;Manhã (5h - 12h);Carona com alguém
Raposa;São Luís;Estudo;Muito raramente;Manhã (5h - 12h);Carro próprio
Rosário;Bacabeira;Estudo;1 a 3 vezes por mês;Manhã (5h - 12h);Transporte Aquaviário
Rosário;São Luís;Compras e serviços;1 a 3 vezes por mês;Manhã (5h - 12h);Transporte Alternativo
Rosário;São Luís;Lazer;Muito raramente;Madrugada (00h - 5h);Carro próprio
Santa Rita;Rosário;Trabalho;1 a 2 vezes por semana;Manhã (5h - 12h);Carro próprio
Santa Rita;Rosário;Trabalho;1 a 3 vezes por mês;Manhã (5h - 12h);Carro próprio
São José de Ribamar;FORA DA RMGSL;Saúde (consultas médicas, exames);Todos os dias;Madrugada (00h - 5h);Transporte Alternativo
São José de Ribamar;FORA DA RMGSL;Lazer;Muito raramente;Noite (18h - 00h);Carro próprio
São José de Ribamar;Paço do Lumiar;Estudo;3 a 5 vezes por semana;Manhã (5h - 12h);Ônibus
São José de Ribamar;Paço do Lumiar;Compras e serviços;Muito raramente;Tarde (12h - 18h);Carona com alguém
São José de Ribamar;São José de Ribamar;Saúde (consultas médicas, exames);Muito raramente;Tarde (12h - 18h);Carro próprio
São José de Ribamar;São José de Ribamar;Visita a amigos/familiares;Muito raramente;Manhã (5h - 12h);Carro próprio
São José de Ribamar;São José de Ribamar;Visita a amigos/familiares;1 a 3 vezes por mês;Manhã (5h - 12h);Carro próprio
São José de Ribamar;São Luís;Trabalho;Todos os dias;Manhã (5h - 12h);Carro próprio
São José de Ribamar;São Luís;Trabalho;Todos os dias;Manhã (5h - 12h);Carro próprio
São José de Ribamar;São Luís;Lazer;Muito raramente;Manhã (5h - 12h);Carro próprio
São José de Ribamar;São Luís;Lazer;Muito raramente;Manhã (5h - 12h);Carro próprio
São José de Ribamar;São Luís;Trabalho;3 a 5 vezes por semana;Manhã (5h - 12h);Moto própria
São José de Ribamar;São Luís;Visita a amigos/familiares;Muito raramente;Tarde (12h - 18h);Trem
São José de Ribamar;São Luís;Trabalho;1 a 2 vezes por semana;Tarde (12h - 18h);Transporte Aquaviário
São José de Ribamar;São Luís;Trabalho;3 a 5 vezes por semana;Manhã (5h - 12h);Carro próprio
São José de Ribamar;São Luís;Trabalho;Todos os dias;Manhã (5h - 12h);Ônibus
São José de Ribamar;São Luís;Trabalho;Todos os dias;Manhã (5h - 12h);Ônibus
São José de Ribamar;São Luís;Visita a amigos/familiares;Muito raramente;Madrugada (00h - 5h);Transporte Alternativo
São José de Ribamar;São Luís;Trabalho;1 a 3 vezes por mês;Manhã (5h - 12h);Carro próprio
São José de Ribamar;São Luís;Trabalho;1 a 2 vezes por semana;Tarde (12h - 18h);Ônibus
São José de Ribamar;São Luís;Visita a amigos/familiares;1 a 3 vezes por mês;Manhã (5h - 12h);Carro próprio
São José de Ribamar;São Luís;Trabalho;3 a 5 vezes por semana;Tarde (12h - 18h);Carro próprio
São José de Ribamar;São Luís;Trabalho;3 a 5 vezes por semana;Manhã (5h - 12h);Ônibus
São José de Ribamar;São Luís;Trabalho;Muito raramente;Tarde (12h - 18h);Ônibus
São José de Ribamar;São Luís;Trabalho;Todos os dias;Tarde (12h - 18h);Ônibus
São José de Ribamar;São Luís;Trabalho;3 a 5 vezes por semana;Manhã (5h - 12h);Ônibus
São José de Ribamar;São Luís;Estudo;Todos os dias;Noite (18h - 00h);Ônibus
São José de Ribamar;São Luís;Trabalho;Muito raramente;Noite (18h - 00h);Ônibus
São José de Ribamar;São Luís;Estudo;Todos os dias;Manhã (5h - 12h);Ônibus
São José de Ribamar;São Luís;Estudo;Muito raramente;Manhã (5h - 12h);Transporte por Aplicativo
