Carimbo de data/hora;Qual sua faixa etária?;Qual seu nível de escolaridade?;Qual sua renda familiar mensal?;A sua última viagem intermunicipal (entre municípios) foi:;A viagem foi realizada em qual período do dia?;Qual o motivo da viagem?;Motivo Agrupado;Qual o município de ORIGEM;Qual o município de DESTINO;Qual foi o principal meio de transporte que você usou?;Modal Agrupado;Quanto tempo durou a viagem?;Com que frequência você faz essa viagem?
2025/03/14 3:25:45 PM GMT-3;18 a 24 anos;Ensino Superior incompleto;Até 1 salário mínimo;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Estudo;Estudo;São Luís;Morros;Ônibus;Ônibus;Mais de 2 horas;Todos os dias
2025/03/14 3:29:21 PM GMT-3;18 a 24 anos;Ensino Médio completo;Entre 1 e 2 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Estudo;Estudo;São Luís;Morros;Ônibus;Ônibus;Entre 1 e 2 horas;3 a 5 vezes por semana
2025/03/14 3:34:35 PM GMT-3;18 a 24 anos;Ensino Superior incompleto;Entre 2 e 4 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Visita a amigos/familiares;Visita a amigos/familiares;São Luís;Morros;Carro próprio;Carro próprio;Mais de 2 horas;Muito raramente
2025/03/14 3:35:18 PM GMT-3;35 a 44 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Tarde (12h - 18h);Lazer;Lazer;São Luís;Morros;Carro próprio;Carro próprio;Entre 15 e 30 minutos;Muito raramente
2025/03/14 3:42:00 PM GMT-3;18 a 24 anos;Ensino Superior incompleto;Até 1 salário mínimo;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Estudo;Estudo;São Luís;Morros;Ônibus;Ônibus;Entre 15 e 30 minutos;3 a 5 vezes por semana
2025/03/14 3:42:11 PM GMT-3;18 a 24 anos;Ensino Médio completo;Até 1 salário mínimo;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Saúde (consultas médicas, exames);Saúde (consultas médicas, exames);São Luís;Morros;Transporte alternativo - Van;Transporte Alternativo;Entre 30 e 60 minutos;Todos os dias
2025/03/14 4:06:23 PM GMT-3;45 a 59 anos;Ensino Superior incompleto;Até 1 salário mínimo;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;Morros;Ônibus;Ônibus;Entre 30 e 60 minutos;Todos os dias
2025/03/14 4:10:28 PM GMT-3;35 a 44 anos;Ensino Superior completo ou mais;Entre 2 e 4 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;Morros;Carro próprio;Carro próprio;Mais de 2 horas;Muito raramente
2025/03/14 4:24:03 PM GMT-3;18 a 24 anos;Ensino Superior incompleto;Entre 1 e 2 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Estudo;Estudo;São José de Ribamar;Paço do Lumiar;Ônibus;Ônibus;Mais de 2 horas;3 a 5 vezes por semana
2025/03/14 4:24:54 PM GMT-3;60 anos ou mais;Ensino Superior completo ou mais;Entre 1 e 2 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Tarde (12h - 18h);Compras e serviços;Compras e serviços;São José de Ribamar;Paço do Lumiar;Carona com alguém;Carona com alguém;Mais de 2 horas;Muito raramente
2025/03/14 4:39:22 PM GMT-3;18 a 24 anos;Ensino Médio completo;Prefiro não dizer;Pontual (evento esporádico, como consulta médica, lazer, etc.);Tarde (12h - 18h);Lazer;Lazer;São Luís;Paço do Lumiar;Ônibus;Ônibus;Entre 1 e 2 horas;Muito raramente
