Carimbo de data/hora;Qual sua faixa etária?;Qual seu nível de escolaridade?;Qual sua renda familiar mensal?;A sua última viagem intermunicipal (entre municípios) foi:;A viagem foi realizada em qual período do dia?;Qual o motivo da viagem?;Motivo Agrupado;Qual o município de ORIGEM;Qual o município de DESTINO;Qual foi o principal meio de transporte que você usou?;Modal Agrupado;Quanto tempo durou a viagem?;Com que frequência você faz essa viagem?
2025/03/27 11:24:21 PM GMT-3;25 a 34 anos;Ensino Superior completo ou mais;Acima de 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São José de Ribamar;São Luís;Carro próprio;Carro próprio;Entre 30 e 60 minutos;Todos os dias
2025/03/28 10:43:20 AM GMT-3;25 a 34 anos;Ensino Superior completo ou mais;Entre 2 e 4 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São José de Ribamar;São Luís;Carro próprio;Carro próprio;Entre 30 e 60 minutos;Todos os dias
2025/03/28 10:44:46 AM GMT-3;45 a 59 anos;Ensino Superior incompleto;Entre 4 e 10 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Lazer;Lazer;São José de Ribamar;São Luís;Carro próprio;Carro próprio;Mais de 2 horas;Muito raramente
2025/03/28 11:03:34 AM GMT-3;25 a 34 anos;Ensino Superior completo ou mais;Entre 1 e 2 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Lazer;Lazer;São José de Ribamar;São Luís;Carro próprio;Carro próprio;Mais de 2 horas;Muito raramente
2025/03/28 11:11:08 AM GMT-3;25 a 34 anos;Ensino Superior completo ou mais;Entre 1 e 2 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São José de Ribamar;São Luís;Moto própria;Moto própria;Entre 30 e 60 minutos;3 a 5 vezes por semana
2025/03/28 11:44:48 AM GMT-3;18 a 24 anos;Ensino Superior incompleto;Entre 1 e 2 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Tarde (12h - 18h);Visita a amigos/familiares;Visita a amigos/familiares;São José de Ribamar;São Luís;Trem;Trem;Mais de 2 horas;Muito raramente
2025/03/28 2:38:45 PM GMT-3;45 a 59 anos;Ensino Superior completo ou mais;Acima de 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Tarde (12h - 18h);Trabalho;Trabalho;São José de Ribamar;São Luís;Barco / lancha;Transporte Aquaviário;Entre 1 e 2 horas;1 a 2 vezes por semana
2025/03/28 5:01:18 PM GMT-3;25 a 34 anos;Ensino Superior completo ou mais;Acima de 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São José de Ribamar;São Luís;Carro próprio;Carro próprio;Entre 30 e 60 minutos;3 a 5 vezes por semana
2025/03/31 8:56:36 AM GMT-3;25 a 34 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São José de Ribamar;São Luís;Ônibus;Ônibus;Entre 1 e 2 horas;Todos os dias
2025/03/31 7:54:23 PM GMT-3;18 a 24 anos;Ensino Superior incompleto;Entre 2 e 4 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São José de Ribamar;São Luís;Ônibus;Ônibus;Entre 30 e 60 minutos;Todos os dias
2025/04/01 8:39:05 AM GMT-3;18 a 24 anos;Ensino Médio completo;Entre 1 e 2 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Madrugada (00h - 5h);Visita a amigos/familiares;Visita a amigos/familiares;São José de Ribamar;São Luís;Transporte alternativo - Van;Transporte Alternativo;Mais de 2 horas;Muito raramente
2025/04/01 11:24:35 AM GMT-3;45 a 59 anos;Ensino Médio completo;Entre 4 e 10 salários mínimos;;Manhã (5h - 12h);Trabalho;Trabalho;São José de Ribamar;São Luís;Carro próprio;Carro próprio;Entre 1 e 2 horas;1 a 3 vezes por mês
2025/04/01 1:13:25 PM GMT-3;25 a 34 anos;Ensino Superior incompleto;Entre 1 e 2 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Tarde (12h - 18h);Trabalho;Trabalho;São José de Ribamar;São Luís;Ônibus;Ônibus;Entre 1 e 2 horas;1 a 2 vezes por semana
2025/04/01 4:42:56 PM GMT-3;25 a 34 anos;Ensino Superior completo ou mais;Entre 2 e 4 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Visita a amigos/familiares;Visita a amigos/familiares;São José de Ribamar;São Luís;Carro próprio;Carro próprio;Entre 1 e 2 horas;1 a 3 vezes por mês
2025/04/03 4:15:29 PM GMT-3;35 a 44 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Tarde (12h - 18h);Trabalho;Trabalho;São José de Ribamar;São Luís;Carro próprio;Carro próprio;Entre 30 e 60 minutos;3 a 5 vezes por semana
2025/04/03 8:20:52 PM GMT-3;25 a 34 anos;Ensino Superior incompleto;Entre 2 e 4 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São José de Ribamar;São Luís;Ônibus;Ônibus;Entre 30 e 60 minutos;3 a 5 vezes por semana
2025/04/03 8:25:24 PM GMT-3;25 a 34 anos;Ensino Superior completo ou mais;Entre 2 e 4 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Tarde (12h - 18h);Trabalho;Trabalho;São José de Ribamar;São Luís;Ônibus;Ônibus;Mais de 2 horas;Muito raramente
2025/04/03 10:23:45 PM GMT-3;18 a 24 anos;Ensino Superior completo ou mais;Até 1 salário mínimo;Rotineira (faço regularmente, como trabalho ou estudo);Tarde (12h - 18h);Trabalho;Trabalho;São José de Ribamar;São Luís;Ônibus;Ônibus;Entre 1 e 2 horas;Todos os dias
2025/04/04 11:42:41 AM GMT-3;18 a 24 anos;Ensino Superior incompleto;Até 1 salário mínimo;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São José de Ribamar;São Luís;Ônibus;Ônibus;Entre 1 e 2 horas;3 a 5 vezes por semana
2025/04/04 9:31:20 PM GMT-3;25 a 34 anos;Ensino Superior completo ou mais;Prefiro não dizer;Rotineira (faço regularmente, como trabalho ou estudo);Noite (18h - 00h);Estudo;Estudo;São José de Ribamar;São Luís;Ônibus;Ônibus;Mais de 2 horas;Todos os dias
2025/04/05 2:17:06 PM GMT-3;25 a 34 anos;Ensino Superior completo ou mais;Entre 2 e 4 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Noite (18h - 00h);Trabalho;Trabalho;São José de Ribamar;São Luís;Ônibus;Ônibus;Entre 15 e 30 minutos;Muito raramente
2025/04/05 3:28:07 PM GMT-3;25 a 34 anos;Ensino Superior incompleto;Até 1 salário mínimo;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Estudo;Estudo;São José de Ribamar;São Luís;Ônibus;Ônibus;Mais de 2 horas;Todos os dias
2025/04/05 3:37:10 PM GMT-3;18 a 24 anos;Ensino Superior incompleto;Entre 4 e 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Estudo;Estudo;São José de Ribamar;São Luís;Transporte por aplicativo (Uber, 99);Transporte por Aplicativo;Entre 15 e 30 minutos;Muito raramente
2025/04/05 7:13:16 PM GMT-3;18 a 24 anos;Ensino Médio completo;Prefiro não dizer;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Lazer;Lazer;São José de Ribamar;São Luís;Carro próprio;Carro próprio;Entre 30 e 60 minutos;Muito raramente
2025/04/05 7:57:45 PM GMT-3;18 a 24 anos;Ensino Superior incompleto;Prefiro não dizer;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Estudo;Estudo;São José de Ribamar;São Luís;Ônibus;Ônibus;Entre 1 e 2 horas;3 a 5 vezes por semana
2025/04/05 9:00:29 PM GMT-3;18 a 24 anos;Ensino Superior incompleto;Entre 4 e 10 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Madrugada (00h - 5h);Lazer;Lazer;São José de Ribamar;São Luís;Carro próprio;Carro próprio;Entre 1 e 2 horas;Muito raramente
2025/04/05 10:17:53 PM GMT-3;18 a 24 anos;Ensino Superior incompleto;Até 1 salário mínimo;Pontual (evento esporádico, como consulta médica, lazer, etc.);Tarde (12h - 18h);Visita a amigos/familiares;Visita a amigos/familiares;São José de Ribamar;São Luís;Carona com alguém;Carona com alguém;Mais de 2 horas;Muito raramente
2025/04/07 9:45:22 AM GMT-3;35 a 44 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Visita a amigos/familiares;Visita a amigos/familiares;São José de Ribamar;São Luís;Ônibus;Ônibus;Entre 30 e 60 minutos;Muito raramente
2025/04/07 9:45:34 AM GMT-3;25 a 34 anos;Ensino Superior completo ou mais;Entre 1 e 2 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São José de Ribamar;São Luís;Carro próprio;Carro próprio;Entre 1 e 2 horas;Muito raramente
2025/04/07 10:14:59 AM GMT-3;25 a 34 anos;Ensino Superior incompleto;Entre 1 e 2 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Visita a amigos/familiares;Visita a amigos/familiares;São José de Ribamar;São Luís;Carro próprio;Carro próprio;Mais de 2 horas;Muito raramente
2025/04/09 2:48:32 PM GMT-3;25 a 34 anos;Ensino Superior incompleto;Entre 1 e 2 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Estudo;Estudo;São José de Ribamar;São Luís;Ônibus;Ônibus;Entre 1 e 2 horas;3 a 5 vezes por semana
2025/04/14 7:15:51 PM GMT-3;18 a 24 anos;Ensino Médio completo;Até 1 salário mínimo;Pontual (evento esporádico, como consulta médica, lazer, etc.);Tarde (12h - 18h);Compras e serviços;Compras e serviços;São José de Ribamar;São Luís;Ônibus;Ônibus;Entre 1 e 2 horas;1 a 2 vezes por semana
2025/04/14 9:04:05 PM GMT-3;25 a 34 anos;Ensino Médio completo;Prefiro não dizer;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Visita a amigos/familiares;Visita a amigos/familiares;São Luís;São Luís;Ônibus;Ônibus;Entre 30 e 60 minutos;Muito raramente
2025/04/15 10:21:32 AM GMT-3;25 a 34 anos;Ensino Superior incompleto;Entre 1 e 2 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Tarde (12h - 18h);Compras e serviços;Compras e serviços;São Luís;São Luís;Transporte alternativo - Van;Transporte Alternativo;Entre 1 e 2 horas;1 a 2 vezes por semana
2025/04/24 6:16:31 PM GMT-3;18 a 24 anos;Ensino Médio completo;Prefiro não dizer;Rotineira (faço regularmente, como trabalho ou estudo);Tarde (12h - 18h);Lazer;Lazer;São Luís;São Luís;Carona com alguém;Carona com alguém;Entre 1 e 2 horas;Muito raramente
2025/04/24 6:28:01 PM GMT-3;45 a 59 anos;Ensino Médio completo;Até 1 salário mínimo;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Saúde (consultas médicas, exames);Saúde (consultas médicas, exames);São Luís;São Luís;Transporte alternativo - Van;Transporte Alternativo;Entre 30 e 60 minutos;Muito raramente
2025/04/25 10:12:44 AM GMT-3;45 a 59 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;São Luís;Carro próprio;Carro próprio;Entre 1 e 2 horas;Muito raramente
2025/04/25 7:58:09 PM GMT-3;35 a 44 anos;Ensino Médio completo;Até 1 salário mínimo;Rotineira (faço regularmente, como trabalho ou estudo);Tarde (12h - 18h);Trabalho;Trabalho;São Luís;São Luís;Moto própria;Moto própria;Menos de 15 minutos;1 a 3 vezes por mês
2025/04/25 8:02:37 PM GMT-3;18 a 24 anos;Ensino Médio completo;Até 1 salário mínimo;Rotineira (faço regularmente, como trabalho ou estudo);Tarde (12h - 18h);Trabalho;Trabalho;São Luís;São Luís;Carro próprio;Carro próprio;Entre 1 e 2 horas;3 a 5 vezes por semana
2025/04/25 10:41:29 PM GMT-3;35 a 44 anos;Ensino Médio completo;Até 1 salário mínimo;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Compras e serviços;Compras e serviços;São Luís;São Luís;Transporte alternativo - Van;Transporte Alternativo;Mais de 2 horas;Muito raramente
2025/04/25 10:48:07 PM GMT-3;Menos de 18 anos;Ensino Fundamental completo;Prefiro não dizer;Pontual (evento esporádico, como consulta médica, lazer, etc.);Tarde (12h - 18h);Lazer;Lazer;São Luís;São Luís;Ônibus;Ônibus;Entre 1 e 2 horas;Muito raramente
2025/04/26 2:25:41 PM GMT-3;Menos de 18 anos;Ensino Médio incompleto;Entre 1 e 2 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Visita a amigos/familiares;Visita a amigos/familiares;São Luís;São Luís;Carona com alguém;Carona com alguém;Mais de 2 horas;Muito raramente
2025/04/26 2:30:18 PM GMT-3;45 a 59 anos;Ensino Fundamental incompleto;Entre 1 e 2 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;São Luís;Moto própria;Moto própria;Mais de 2 horas;Todos os dias
2025/04/26 2:37:20 PM GMT-3;35 a 44 anos;Ensino Médio incompleto;Entre 1 e 2 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Madrugada (00h - 5h);Trabalho;Trabalho;FORA DA RMGSL;São Luís;Transporte alternativo - Carro;Transporte Alternativo;Entre 1 e 2 horas;1 a 3 vezes por mês
2025/04/29 3:11:49 PM GMT-3;Menos de 18 anos;Ensino Médio incompleto;Até 1 salário mínimo;Rotineira (faço regularmente, como trabalho ou estudo);Tarde (12h - 18h);Estudo;Estudo;FORA DA RMGSL;São Luís;Carona com alguém;Carona com alguém;Menos de 15 minutos;Todos os dias
2025/04/30 12:48:52 PM GMT-3;35 a 44 anos;Ensino Fundamental incompleto;Entre 1 e 2 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Madrugada (00h - 5h);Trabalho;Trabalho;FORA DA RMGSL;São Luís;Carona com alguém;Carona com alguém;Entre 1 e 2 horas;Muito raramente
2025/05/01 1:16:00 PM GMT-3;35 a 44 anos;Ensino Fundamental incompleto;Entre 1 e 2 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Tarde (12h - 18h);Lazer;Lazer;São Luís;FORA DA RMGSL;Carona com alguém;Carona com alguém;Entre 1 e 2 horas;Muito raramente
2025/05/01 1:45:54 PM GMT-3;25 a 34 anos;Ensino Médio completo;Entre 1 e 2 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;Cachoeira Grande;FORA DA RMGSL;Transporte alternativo - Van;Transporte Alternativo;Entre 1 e 2 horas;1 a 3 vezes por mês
2025/05/05 12:38:43 PM GMT-3;35 a 44 anos;Ensino Médio completo;Prefiro não dizer;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Visita a amigos/familiares;Visita a amigos/familiares;São Luís;FORA DA RMGSL;Carro próprio;Carro próprio;Entre 1 e 2 horas;Muito raramente
2025/05/05 12:40:17 PM GMT-3;60 anos ou mais;Ensino Fundamental incompleto;Entre 1 e 2 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Saúde (consultas médicas, exames);Saúde (consultas médicas, exames);São Luís;FORA DA RMGSL;Carona com alguém;Carona com alguém;Entre 1 e 2 horas;1 a 3 vezes por mês
2025/05/05 12:42:46 PM GMT-3;45 a 59 anos;Ensino Médio completo;Entre 1 e 2 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;FORA DA RMGSL;Carona com alguém;Carona com alguém;Mais de 2 horas;Muito raramente
2025/05/05 12:48:23 PM GMT-3;Menos de 18 anos;Ensino Médio completo;Prefiro não dizer;Pontual (evento esporádico, como consulta médica, lazer, etc.);Madrugada (00h - 5h);Lazer;Lazer;São Luís;FORA DA RMGSL;Transporte alternativo - Van;Transporte Alternativo;Mais de 2 horas;Muito raramente
2025/05/05 12:52:26 PM GMT-3;25 a 34 anos;Ensino Médio completo;Entre 1 e 2 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Visita a amigos/familiares;Visita a amigos/familiares;São Luís;FORA DA RMGSL;Transporte alternativo - Van;Transporte Alternativo;Entre 1 e 2 horas;Muito raramente
